first_name,last_name,total_amount
WALTER,PERRYMAN,127.7
PATRICK,NEWSOM,119.69
HAROLD,MARTINO,130.68
DOUGLAS,GRAF,114.75
ARTHUR,SIMPKINS,155.68
RYAN,SALISBURY,142.7
ROGER,QUINTANILLA,146.64
JOE,GILLILAND,138.71
JUSTIN,NGO,129.64
GERALD,FULTZ,121.7
RALPH,MADRIGAL,150.66
NICHOLAS,BARFIELD,145.68
ROY,WHITING,143.71
BRANDON,HUEY,152.63
HARRY,ARCE,157.65
BILLY,POULIN,149.65
STEVE,MACKENZIE,158.66
LOUIS,LEONE,161.65
RUSSELL,BRINSON,136.64
TODD,TAN,117.71
CRAIG,MORRELL,124.7
ALAN,KAHN,124.74
SHAWN,HEATON,152.67
PHILIP,CAUSEY,121.69
BRYAN,HARDISON,124.72
MIKE,WAY,166.65
STANLEY,SCROGGINS,139.7
NATHAN,RUNYON,122.68
DALE,RATCLIFF,112.73
MANUEL,MURRELL,116.7
CURTIS,IRBY,167.62
JEFFERY,PINSON,121.69
LEE,HAWKS,119.73
ALFRED,CASILLAS,120.74
BRADLEY,MOTLEY,126.73
JESUS,MCCARTNEY,114.76
EDWIN,BURK,116.77
DON,BONE,133.75
EDDIE,TOMLIN,128.73
TROY,QUIGLEY,144.7
BARRY,LOVELACE,134.67
ALEXANDER,FENNELL,151.64
MARIO,CHEATHAM,112.72
LEROY,BUSTAMANTE,118.68
MARCUS,HIDALGO,115.7
THEODORE,CULP,116.69
CLIFFORD,BOWENS,113.71
MIGUEL,BETANCOURT,135.71
JIM,REA,128.67
ALEX,GRESHAM,151.67
BILL,GAVIN,114.72
TOMMY,COLLAZO,186.62
WARREN,SHERROD,159.67
ALVIN,DELOACH,139.71
TIM,CARY,175.61
WESLEY,BULL,177.6
GORDON,ALLARD,160.68
GREG,ROBINS,141.7
JORGE,OLIVARES,134.66
ZACHARY,HITE,146.69
HERMAN,DEVORE,115.71
MAURICE,CRAWLEY,138.71
ROBERTO,VU,139.7
CLYDE,TOBIAS,115.71
GLEN,TALBERT,113.74
HECTOR,POINDEXTER,119.74
SAM,MCDUFFIE,117.76
RICK,MATTOX,124.73
BRENT,HARKINS,112.77
RAMON,CHOATE,140.69
CHARLIE,BESS,120.74
GILBERT,SLEDGE,129.72
MARC,OUTLAW,123.7
REGINALD,KINDER,115.72
BRETT,CORNWELL,138.66
ANGEL,BARCLAY,115.68
NATHANIEL,ADAM,133.72
LESLIE,SEWARD,152.65
MILTON,HOWLAND,127.75
BEN,EASTER,122.74
CECIL,VINES,115.74
DUANE,TUBBS,148.69
ANDRE,RAPP,126.72
MITCHELL,WESTMORELAND,134.68
ARNOLD,HAVENS,167.67
KARL,SEAL,221.55
ERIK,GUILLEN,118.71
JAMIE,WAUGH,118.75
NEIL,RENNER,152.68
JESSIE,MILAM,141.67
JAVIER,ELROD,135.68
FERNANDO,CHURCHILL,117.75
TED,BREAUX,117.71
TYRONE,ASHER,112.76
GUY,BROWNLEE,159.68
JIMMIE,EGGLESTON,135.72
JORDAN,ARCHULETA,132.7
JAIME,NETTLES,126.71
CASEY,MENA,141.66
DAVE,GARDINER,134.68
JOHNNIE,CHISHOLM,121.76
BYRON,BOX,120.71
ISAAC,OGLESBY,126.71
MORRIS,MCCARTER,139.66
CLIFTON,MALCOLM,117.73
ANDY,VANHORN,113.75
MARSHALL,THORN,117.77
SALVADOR,TEEL,129.7
PERRY,SWAFFORD,117.76
MARION,OCAMPO,115.71
TRACY,HERRMANN,129.72
SETH,HANNON,112.75
KENT,ARSENAULT,134.73
RENE,MCALISTER,113.74
EDUARDO,HIATT,130.73
TERRENCE,GUNDERSON,117.7
